2026-07-17 16:34:38,586 | INFO | translation-platform | Loading MT5 model...
2026-07-17 17:16:44,862 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:16:44] "[33mPOST /upload_file HTTP/1.1[0m" 404 -
2026-07-17 17:19:39,267 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:19:39] "[33mPOST /upload_file HTTP/1.1[0m" 404 -
2026-07-17 17:31:27,719 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-07-17 17:31:27,719 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-07-17 17:31:27,728 | INFO | werkzeug |  * Restarting with stat
2026-07-17 17:31:40,899 | WARNING | werkzeug |  * Debugger is active!
2026-07-17 17:31:40,902 | INFO | werkzeug |  * Debugger PIN: 115-207-918
2026-07-17 17:31:42,958 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:31:42] "GET / HTTP/1.1" 200 -
2026-07-17 17:31:43,371 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:31:43] "[36mGET /static/plus.png HTTP/1.1[0m" 304 -
2026-07-17 17:31:43,683 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:31:43] "[36mGET /static/pause.png HTTP/1.1[0m" 304 -
2026-07-17 17:31:43,753 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:31:43] "[36mGET /static/play.png HTTP/1.1[0m" 304 -
2026-07-17 17:31:43,779 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:31:43] "[36mGET /static/rahnema_college.png HTTP/1.1[0m" 304 -
2026-07-17 17:31:43,909 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:31:43] "[36mGET /static/play-and-pause-button.png HTTP/1.1[0m" 304 -
2026-07-17 17:31:43,922 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:31:43] "[36mGET /static/stop-button.png HTTP/1.1[0m" 304 -
2026-07-17 17:32:02,011 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:32:02] "POST /upload_file HTTP/1.1" 200 -
2026-07-17 17:32:02,028 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:32:02] "[33mGET /translate_line/llm HTTP/1.1[0m" 404 -
2026-07-17 17:32:10,834 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:32:10] "POST /upload_file HTTP/1.1" 200 -
2026-07-17 17:32:10,834 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:32:10] "[33mGET /translate_line/bart HTTP/1.1[0m" 404 -
2026-07-17 17:32:16,348 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:32:16] "POST /upload_file HTTP/1.1" 200 -
2026-07-17 17:32:16,352 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:32:16] "[33mGET /translate_line/bart HTTP/1.1[0m" 404 -
2026-07-17 17:32:36,531 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:32:36] "POST /upload_file HTTP/1.1" 200 -
2026-07-17 17:32:36,551 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:32:36] "[33mGET /translate_line/bart HTTP/1.1[0m" 404 -
2026-07-17 17:35:12,119 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-07-17 17:35:12,119 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-07-17 17:35:12,123 | INFO | werkzeug |  * Restarting with stat
2026-07-17 17:35:22,278 | WARNING | werkzeug |  * Debugger is active!
2026-07-17 17:35:22,289 | INFO | werkzeug |  * Debugger PIN: 115-207-918
2026-07-17 17:35:30,512 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:35:30] "GET / HTTP/1.1" 200 -
2026-07-17 17:35:30,924 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:35:30] "[36mGET /static/plus.png HTTP/1.1[0m" 304 -
2026-07-17 17:35:31,430 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:35:31] "[36mGET /static/rahnema_college.png HTTP/1.1[0m" 304 -
2026-07-17 17:35:31,466 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:35:31] "[36mGET /static/play-and-pause-button.png HTTP/1.1[0m" 304 -
2026-07-17 17:35:31,474 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:35:31] "[36mGET /static/play.png HTTP/1.1[0m" 304 -
2026-07-17 17:35:31,516 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:35:31] "[36mGET /static/stop-button.png HTTP/1.1[0m" 304 -
2026-07-17 17:35:31,519 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:35:31] "[36mGET /static/pause.png HTTP/1.1[0m" 304 -
2026-07-17 17:35:40,301 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:35:40] "POST /upload_file HTTP/1.1" 200 -
2026-07-17 17:35:45,111 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:35:45] "GET /translate_line/bart HTTP/1.1" 200 -
2026-07-17 17:35:59,658 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:35:59] "POST /upload_file HTTP/1.1" 200 -
2026-07-17 17:36:01,446 | ERROR | translation-platform | HTTP Error: 401 Client Error:  for url: https://api.metisai.ir/api/v1/chat/openai_chat_completion/completions
2026-07-17 17:36:01,508 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:36:01] "GET /translate_line/llm HTTP/1.1" 200 -
2026-07-17 17:36:16,240 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:36:16] "GET / HTTP/1.1" 200 -
2026-07-17 17:36:16,264 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:36:16] "[36mGET /static/plus.png HTTP/1.1[0m" 304 -
2026-07-17 17:36:16,272 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:36:16] "[36mGET /static/pause.png HTTP/1.1[0m" 304 -
2026-07-17 17:36:16,273 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:36:16] "[36mGET /static/play.png HTTP/1.1[0m" 304 -
2026-07-17 17:36:16,276 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:36:16] "[36mGET /static/play-and-pause-button.png HTTP/1.1[0m" 304 -
2026-07-17 17:36:16,292 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:36:16] "[36mGET /static/rahnema_college.png HTTP/1.1[0m" 304 -
2026-07-17 17:36:16,292 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:36:16] "[36mGET /static/stop-button.png HTTP/1.1[0m" 304 -
2026-07-17 17:36:22,754 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:36:22] "POST /upload_file HTTP/1.1" 200 -
2026-07-17 17:36:24,423 | ERROR | translation-platform | HTTP Error: 401 Client Error:  for url: https://api.metisai.ir/api/v1/chat/openai_chat_completion/completions
2026-07-17 17:36:24,448 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:36:24] "GET /translate_line/llm HTTP/1.1" 200 -
2026-07-17 17:36:34,249 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:36:34] "POST /translate_text/bart HTTP/1.1" 200 -
2026-07-17 17:36:39,235 | ERROR | translation-platform | HTTP Error: 401 Client Error:  for url: https://api.metisai.ir/api/v1/chat/openai_chat_completion/completions
2026-07-17 17:36:39,285 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:36:39] "[35m[1mPOST /translate_text/llm HTTP/1.1[0m" 500 -
2026-07-17 19:47:25,197 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/facebook/mbart-large-50-many-to-many-mmt/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-07-17 19:47:25,434 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/mbart-large-50-many-to-many-mmt/e30b6cb8eb0d43a0b73cab73c7676b9863223a30/tokenizer_config.json "HTTP/1.1 200 OK"
2026-07-17 19:47:25,697 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/resolve-cache/models/facebook/mbart-large-50-many-to-many-mmt/e30b6cb8eb0d43a0b73cab73c7676b9863223a30/tokenizer_config.json "HTTP/1.1 200 OK"
2026-07-17 19:47:26,004 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/facebook/mbart-large-50-many-to-many-mmt/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-07-17 19:47:26,259 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/facebook/mbart-large-50-many-to-many-mmt/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-07-17 19:47:26,499 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/facebook/mbart-large-50-many-to-many-mmt/resolve/main/sentencepiece.bpe.model "HTTP/1.1 302 Found"
2026-07-17 19:47:26,866 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/facebook/mbart-large-50-many-to-many-mmt/xet-read-token/e30b6cb8eb0d43a0b73cab73c7676b9863223a30 "HTTP/1.1 200 OK"
2026-07-17 19:47:31,600 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/facebook/mbart-large-50-many-to-many-mmt/resolve/main/tokenizer.json "HTTP/1.1 404 Not Found"
2026-07-17 19:47:31,848 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/facebook/mbart-large-50-many-to-many-mmt/resolve/main/added_tokens.json "HTTP/1.1 404 Not Found"
2026-07-17 19:47:32,073 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/facebook/mbart-large-50-many-to-many-mmt/resolve/main/special_tokens_map.json "HTTP/1.1 307 Temporary Redirect"
2026-07-17 19:47:32,308 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/mbart-large-50-many-to-many-mmt/e30b6cb8eb0d43a0b73cab73c7676b9863223a30/special_tokens_map.json "HTTP/1.1 200 OK"
2026-07-17 19:47:32,572 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/resolve-cache/models/facebook/mbart-large-50-many-to-many-mmt/e30b6cb8eb0d43a0b73cab73c7676b9863223a30/special_tokens_map.json "HTTP/1.1 200 OK"
2026-07-17 19:47:32,821 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/facebook/mbart-large-50-many-to-many-mmt/resolve/main/chat_template.jinja "HTTP/1.1 404 Not Found"
2026-07-17 19:48:19,580 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/facebook/mbart-large-50-many-to-many-mmt/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-07-17 19:48:19,698 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/mbart-large-50-many-to-many-mmt/e30b6cb8eb0d43a0b73cab73c7676b9863223a30/tokenizer_config.json "HTTP/1.1 200 OK"
2026-07-17 19:48:19,952 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/facebook/mbart-large-50-many-to-many-mmt/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-07-17 19:48:20,169 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/facebook/mbart-large-50-many-to-many-mmt/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-07-17 19:49:03,122 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/facebook/mbart-large-50-many-to-many-mmt/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-07-17 19:49:03,294 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/mbart-large-50-many-to-many-mmt/e30b6cb8eb0d43a0b73cab73c7676b9863223a30/tokenizer_config.json "HTTP/1.1 200 OK"
2026-07-17 19:49:03,568 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/facebook/mbart-large-50-many-to-many-mmt/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-07-17 19:49:03,907 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/facebook/mbart-large-50-many-to-many-mmt/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-07-17 19:50:00,095 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/facebook/mbart-large-50-many-to-many-mmt/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
